Wall time,Step,Value
1537079388.088724,1199,0.5917071104049683
1537079612.6349514,3799,0.5915330648422241
1537079716.5459948,4999,0.5942226052284241
1537080003.4358115,8199,0.5949736833572388
1537080039.0313447,8599,0.5947680473327637
1537080093.653064,9199,0.5947942733764648
1537080237.6201873,10799,0.594733476638794
1537080290.033647,11399,0.5945313572883606
1537080553.1524425,14399,0.5919462442398071
1537080606.8847585,14999,0.591526448726654
1537080964.446796,18999,0.5923221111297607
1537081105.1003513,20599,0.5918552279472351
1537081158.188204,21199,0.5919904708862305
1537081175.9312992,21399,0.5918657183647156
1537081297.8813584,22799,0.5921218991279602
1537081630.556167,2199,0.5865703225135803
1537081861.5929325,4799,0.5817578434944153
1537082053.8431962,6999,0.5841730237007141
1537082142.8121154,7999,0.5844442248344421
1537082195.6993918,8599,0.5855657458305359
1537082354.9912546,10399,0.5872244834899902
1537082372.577044,10599,0.5876066088676453
1537082547.6274264,12599,0.5880391001701355
1537082633.708508,13599,0.5876131653785706
1537082668.475983,13999,0.5868141651153564
1537082685.9990501,14199,0.5868439078330994
1537082755.130471,14999,0.5870968699455261
1537082893.8224764,16599,0.5857231616973877
1537083035.6164587,18199,0.58170485496521
1537083053.2807283,18399,0.581587553024292
1537083143.523106,19399,0.5808234810829163
1537083339.6528587,21599,0.5772663354873657
1537083444.959373,22799,0.5761935710906982
1537083636.6640742,599,0.5520685911178589
1537083897.5007148,3599,0.542148768901825
1537084002.8124807,4799,0.5392337441444397
1537084090.9913373,5799,0.5356255173683167
1537084215.6689053,7199,0.5309487581253052
1537084286.3730228,7999,0.5299360752105713
1537084321.485733,8399,0.5285062789916992
1537084649.2588825,12199,0.515432596206665
1537084735.4404461,13199,0.5135318040847778
1537084752.4125402,13399,0.5133364200592041
1537084838.7442079,14399,0.5111094117164612
1537084925.5725727,15399,0.5096073746681213
1537084960.43426,15799,0.5088752508163452
1537085098.5635707,17399,0.5066000819206238
1537085115.8499637,17599,0.5066708326339722
1537085306.4710693,19799,0.5045740604400635
1537085462.2916152,21599,0.5032321214675903
1537085601.1246984,23199,0.5010374784469604
1537085985.505769,3199,0.46919548511505127
1537086055.7351897,3999,0.47225460410118103
1537086229.581099,5999,0.47713184356689453
1537086991.7045832,14799,0.4714938700199127
1537087009.371298,14999,0.4714457094669342
1537087149.0898151,16599,0.4709317088127136
1537087305.989015,18399,0.46911337971687317
1537087342.1365142,18799,0.4689430296421051
1537087360.2405334,18999,0.46905964612960815
1537087414.7317362,19599,0.4690292775630951
1537087522.9242582,20799,0.469068706035614
1537087681.9279082,22599,0.4697401523590088
1537087733.9951205,23199,0.46937909722328186
1537087858.4413793,199,0.4516027867794037
1537088033.5565302,2199,0.46007293462753296
1537088328.8796628,5599,0.46329301595687866
1537088363.9395857,5999,0.46293359994888306
1537088697.0372913,9799,0.46261805295944214
1537088731.644674,10199,0.4635896384716034
1537088783.6610594,10799,0.46484342217445374
1537088922.9529512,12399,0.46474459767341614
1537089027.6930065,13599,0.4642636775970459
1537089062.5532672,13999,0.46380433440208435
1537089115.4142864,14599,0.4646860957145691
1537089221.9771428,15799,0.4638170003890991
1537089311.2048535,16799,0.4627975523471832
1537089491.3492043,18799,0.4615330994129181
1537089599.771314,19999,0.46114736795425415
1537089708.2165368,21199,0.4609067738056183
1537089780.2888687,21999,0.4606901705265045
1537089889.0087955,23199,0.4605367183685303
1537090037.8488572,399,0.4374358654022217
1537090092.3379095,999,0.4249778091907501
1537090128.9853654,1399,0.4307192862033844
1537090147.3965962,1599,0.4361826181411743
1537090239.6849062,2599,0.45005863904953003
1537090257.7795067,2799,0.45091235637664795
1537090423.1843312,4599,0.4538496732711792
1537090571.476301,6199,0.4557924270629883
1537090665.45181,7199,0.4560076594352722
1537090757.7526414,8199,0.4561009407043457
1537090794.599846,8599,0.45602020621299744
1537091015.8593533,10999,0.4525566101074219
1537091144.6686227,12399,0.4532419741153717
1537091162.9449694,12599,0.4533913731575012
1537091199.6978242,12999,0.4521930515766144
1537091254.3324766,13599,0.4517988860607147
1537091290.7566326,13999,0.4521256685256958
1537091511.5452619,16399,0.4522251486778259
1537091566.1648166,16999,0.45259353518486023
1537091640.0718892,17799,0.4527888894081116
1537091695.4772606,18399,0.45290419459342957
1537091750.4289818,18999,0.45244231820106506
1537091823.3805099,19799,0.45154616236686707
1537091841.9107072,19999,0.4515194296836853
1537091914.1365173,20799,0.45221322774887085
1537092004.9530928,21799,0.45194315910339355
1537092452.1769702,2199,0.44695335626602173
1537092599.9925025,3799,0.4439673125743866
1537092674.2665093,4599,0.44462594389915466
1537092747.996737,5399,0.4415058493614197
1537092766.5234957,5599,0.44102194905281067
1537092894.6702127,6999,0.4443357288837433
1537093061.2528315,8799,0.4447382688522339
1537093135.171889,9599,0.44444045424461365
1537093209.5047956,10399,0.4438648819923401
1537093282.6924183,11199,0.4433281421661377
1537093301.3951414,11399,0.44309553503990173
1537093374.943397,12199,0.4418657124042511
1537093540.5915928,13999,0.4428880214691162
1537093613.8832626,14799,0.44317659735679626
1537093632.3753119,14999,0.4433456063270569
1537093650.8408844,15199,0.44389188289642334
1537093687.6326764,15599,0.443662166595459
1537093706.3224602,15799,0.4440610110759735
1537093815.5282998,16999,0.44455191493034363
1537093887.7286584,17799,0.4443247616291046
1537093905.655042,17999,0.44471707940101624
1537093941.5033689,18399,0.4440886080265045
1537094032.896575,19399,0.4448045790195465
1537094051.667969,19599,0.44475823640823364
1537094069.911526,19799,0.44472119212150574
1537094144.031177,20599,0.44452905654907227
1537094217.7489004,21399,0.4447188973426819
1537094308.492751,22399,0.44365137815475464
1537094326.800246,22599,0.4433666169643402
1537094345.195303,22799,0.44352275133132935
1537094878.4833472,4199,0.4339563846588135
1537094951.8075013,4999,0.43659380078315735
1537094988.1605663,5399,0.4376097023487091
1537095078.6157548,6399,0.43635398149490356
1537095512.2834952,11199,0.43656840920448303
1537095548.7908688,11599,0.43616241216659546
1537095639.6288915,12599,0.4365905523300171
1537095676.5297873,12999,0.4368892312049866
1537095749.5648222,13799,0.436227411031723
1537095786.6929567,14199,0.4360274076461792
1537095932.7992592,15799,0.4374769926071167
1537096041.335414,16999,0.43646934628486633
1537096112.728774,17799,0.4366288185119629
1537096237.674466,19199,0.43556666374206543
1537096273.6075978,19599,0.43546822667121887
1537096383.2922058,20799,0.43586769700050354
1537096420.2295585,21199,0.4356022775173187
1537096475.4368117,21799,0.43547898530960083
1537096530.7308252,22399,0.4358540177345276
1537096789.7153118,799,0.41383180022239685
1537096808.3495886,999,0.4098794162273407
1537096862.7196162,1599,0.41687941551208496
1537096990.6270425,2999,0.4136562645435333
1537097045.8050768,3599,0.4169068932533264
1537097213.0645635,5399,0.42116016149520874
1537097286.9737356,6199,0.42140746116638184
1537097342.5691721,6799,0.4239387810230255
1537097361.5153277,6999,0.4251658618450165
1537097526.5574677,8799,0.4254731237888336
1537097544.9045322,8999,0.42656564712524414
1537097618.4112542,9799,0.4275212287902832
1537097654.5845363,10199,0.42912960052490234
1537097672.8287647,10399,0.42888903617858887
1537097745.0887547,11199,0.42746010422706604
