Wall time,Step,Value
1537081438.8029733,0,0.7153838872909546
1537083584.5234785,1,0.5977707505226135
1537085706.1029055,2,0.7029883861541748
1537087840.3396955,3,0.7004900574684143
1537090000.7080631,4,0.6437013745307922
1537092247.5770168,5,0.699913501739502
1537094491.6855898,6,0.7042375206947327
1537096716.3319101,7,0.6992409229278564
1537098951.767105,8,0.6349572539329529
1537101175.1728923,9,0.7032766342163086
1537103408.9400342,10,0.6929950714111328
1537105642.101947,11,0.7040453553199768
1537107890.583467,12,0.7045258283615112
1537110146.4338202,13,0.7001057267189026
1537112425.5727708,14,0.704814076423645
1537114709.5155666,15,0.6974151730537415
1537117022.8926291,16,0.7010666131973267
1537119336.982166,17,0.7042375206947327
1537121652.2793512,18,0.7083693742752075
1537123950.5487256,19,0.6989526152610779
1537126260.5943825,20,0.69770348072052
1537128569.6411378,21,0.7047179937362671
1537130801.7592201,22,0.7046219110488892
1537133076.6881804,23,0.6957817077636719
1537135342.3154202,24,0.7040453553199768
1537137630.9556878,25,0.7001057267189026
1537139936.8712444,26,0.6953012347221375
1537142225.6041076,27,0.699817419052124
1537144514.3786871,28,0.7013548612594604
1537146800.5511243,29,0.6953012347221375
1537149083.4273763,30,0.690688967704773
1537151399.2956488,31,0.6990486979484558
1537153747.955634,32,0.7089459300041199
1537156043.3353794,33,0.6640722751617432
1537158326.119439,34,0.7039492726325989
1537160549.914886,35,0.705967128276825
1537162755.30763,36,0.6994330883026123
1537164948.8052843,37,0.7121168375015259
1537167157.1957994,38,0.7002018094062805
1537169351.6517096,39,0.7015470266342163
1537171598.7233167,40,0.6974151730537415
1537173762.3544416,41,0.704814076423645
1537175936.5266025,42,0.7023157477378845
1537178108.9881399,43,0.683578372001648
1537180133.9911926,44,0.6990486979484558
1537182177.4916527,45,0.6908811330795288
1537184276.0730174,46,0.703853189945221
1537186347.1093636,47,0.6923224925994873
1537188438.481361,48,0.6933794617652893
1537190599.8189476,49,0.6249639391899109
