Wall time,Step,Value
1537081438.8029733,0,0.2846161127090454
1537083584.5234785,1,0.14989911019802094
1537085706.1029055,2,0.18718171119689941
1537087840.3396955,3,0.18968002498149872
1537090000.7080631,4,0.13423657417297363
1537092247.5770168,5,0.17901413142681122
1537094491.6855898,6,0.1796867549419403
1537096716.3319101,7,0.16210243105888367
1537098951.767105,8,0.11963101476430893
1537101175.1728923,9,0.16536946594715118
1537103408.9400342,10,0.1326991468667984
1537105642.101947,11,0.1803593784570694
1537107890.583467,12,0.16834822297096252
1537110146.4338202,13,0.15287786722183228
1537112425.5727708,14,0.14538291096687317
1537114709.5155666,15,0.1398097425699234
1537117022.8926291,16,0.14663207530975342
1537119336.982166,17,0.1558566391468048
1537121652.2793512,18,0.20784087479114532
1537123950.5487256,19,0.13510137796401978
1537126260.5943825,20,0.1333717703819275
1537128569.6411378,21,0.1536465883255005
1537130801.7592201,22,0.15345440804958344
1537133076.6881804,23,0.14989911019802094
1537135342.3154202,24,0.14528682827949524
1537137630.9556878,25,0.1320265233516693
1537139936.8712444,26,0.1326991468667984
1537142225.6041076,27,0.12741424143314362
1537144514.3786871,28,0.13702315092086792
1537146800.5511243,29,0.1319304257631302
1537149083.4273763,30,0.10963774472475052
1537151399.2956488,31,0.12693379819393158
1537153747.955634,32,0.17670798301696777
1537156043.3353794,33,0.11021427810192108
1537158326.119439,34,0.15595272183418274
1537160549.914886,35,0.1540309339761734
1537162755.30763,36,0.1287594884634018
1537164948.8052843,37,0.2027481496334076
1537167157.1957994,38,0.14182761311531067
1537169351.6517096,39,0.1284712255001068
1537171598.7233167,40,0.1330835074186325
1537173762.3544416,41,0.14864994585514069
1537175936.5266025,42,0.13808013498783112
1537178108.9881399,43,0.11972710490226746
1537180133.9911926,44,0.1362544447183609
1537182177.4916527,45,0.11069472134113312
1537184276.0730174,46,0.14961083233356476
1537186347.1093636,47,0.12232151627540588
1537188438.481361,48,0.12145671248435974
1537190599.8189476,49,0.09753050655126572
