Wall time,Step,Value
1537081438.8056207,0,71.53839111328125
1537083584.5240932,1,73.24877166748047
1537085706.1035824,2,80.04228210449219
1537087840.3402977,3,79.54261779785156
1537090000.7088163,4,79.40808868408203
1537092247.5776632,5,80.55155181884766
1537094491.686415,6,80.91668701171875
1537096716.3327532,7,82.17546081542969
1537098951.7678933,8,79.99423217773438
1537101175.173685,9,82.25232696533203
1537103408.940663,10,84.4912109375
1537105642.102791,11,80.83020782470703
1537107890.5841894,12,82.0793685913086
1537110146.4345927,13,83.18439483642578
1537112425.573663,14,84.40472412109375
1537114709.5161858,15,84.22216033935547
1537117022.893286,16,83.90506744384766
1537119336.9828627,17,83.2997055053711
1537121652.2800016,18,78.51445770263672
1537123950.5494714,19,84.84674072265625
1537126260.5951416,20,84.89478302001953
1537128569.641821,21,83.5687484741211
1537130801.7598248,22,83.57836151123047
1537133076.6887975,23,83.04987335205078
1537135342.316309,24,84.33746337890625
1537137630.9563036,25,85.26953125
1537139936.8719263,26,84.7218246459961
1537142225.6048691,27,85.70193481445312
1537144514.379432,28,84.89478302001953
1537146800.5516946,29,84.79869079589844
1537149083.4283369,30,86.56673431396484
1537151399.2965713,31,85.67310333251953
1537153747.956504,32,81.6854019165039
1537156043.3360581,33,83.847412109375
1537158326.1202207,34,83.26126861572266
1537160549.9156497,35,83.65523529052734
1537162755.3082662,36,85.52896881103516
1537164948.8059068,37,79.39848327636719
1537167157.1965284,38,84.29902648925781
1537169351.6523242,39,85.76919555664062
1537171598.7240496,40,84.89478302001953
1537173762.355113,41,84.0780258178711
1537175936.5274048,42,84.88516998291016
1537178108.9888716,43,84.84674072265625
1537180133.9919488,44,84.74104309082031
1537182177.4922447,45,86.48025512695312
1537184276.073753,46,83.88584899902344
1537186347.1100073,47,85.46170806884766
1537188438.4820113,48,85.65388488769531
1537190599.8196838,49,81.2049560546875
