Wall time,Step,Value
1537870293.3202136,0,0.2789468765258789
1537872598.2640028,1,0.2789468765258789
1537874904.195897,2,0.2789468765258789
1537877218.9291925,3,0.2782742381095886
1537879534.6633532,4,0.2244642972946167
1537881843.473352,5,0.2077447921037674
1537884171.042062,6,0.1749783754348755
1537886492.4662838,7,0.17872585356235504
1537888813.2073536,8,0.19467665255069733
1537891123.1958346,9,0.17738060653209686
1537893436.4608784,10,0.16882866621017456
1537895746.106855,11,0.17411357164382935
1537898065.1837332,12,0.16248679161071777
1537900402.0206692,13,0.17209570109844208
1537902740.0020823,14,0.15528009831905365
1537905076.628295,15,0.156913623213768
1537907411.1087072,16,0.14451810717582703
1537909744.4089267,17,0.16056500375270844
1537912061.3044553,18,0.16123762726783752
1537914386.2143517,19,0.15037955343723297
1537916713.5430481,20,0.14999519288539886
1537919042.1435108,21,0.14326895773410797
1537921364.7193537,22,0.13317959010601044
1537923690.2280233,23,0.14720861613750458
1537926019.4860752,24,0.14528682827949524
1537928345.302631,25,0.16488902270793915
1537930672.966598,26,0.14913038909435272
1537933001.846559,27,0.13923320174217224
1537935328.9385936,28,0.12654943764209747
1537937673.1503627,29,0.15268568694591522
1537940025.5354626,30,0.2789468765258789
1537942380.6588387,31,0.2789468765258789
1537944758.020131,32,0.2789468765258789
1537947120.744016,33,0.2789468765258789
1537949482.1082177,34,0.2789468765258789
1537951819.1579123,35,0.2789468765258789
