Wall time,Step,Value
1537025166.8081033,1199,0.6774917244911194
1537025182.8368742,1399,0.6771057844161987
1537025263.704779,2399,0.6680874228477478
1537025311.5273132,2999,0.663497269153595
1537025327.7776506,3199,0.6623847484588623
1537025375.7792864,3799,0.6606318354606628
1537025391.878391,3999,0.661083996295929
1537025407.7691495,4199,0.6603948473930359
1537025471.409455,4999,0.661969006061554
1537025664.5285125,7399,0.6703764796257019
1537025728.8056364,8199,0.671646773815155
1537025761.0169158,8599,0.672450840473175
1537025793.1310256,8999,0.6728804111480713
1537025809.278436,9199,0.6728253364562988
1537025841.3766735,9599,0.6732475757598877
1537025937.0977705,10799,0.6737804412841797
1537025953.2740676,10999,0.6738066077232361
1537025969.2130039,11199,0.6735670566558838
1537025985.3404598,11399,0.6732655167579651
1537026112.0532768,199,0.6546227335929871
1537026241.3254242,1799,0.6596217155456543
1537026273.6371012,2199,0.656838595867157
1537026289.9139016,2399,0.6576672196388245
1537026338.7675745,2999,0.6570435166358948
1537026354.9275346,3199,0.6548975110054016
1537026370.9126694,3399,0.6546553373336792
1537026387.2727973,3599,0.65530925989151
1537026468.194792,4599,0.6545161604881287
1537026549.9342203,5599,0.6553007364273071
1537026598.7107663,6199,0.6540586948394775
1537026615.162399,6399,0.6532135009765625
1537026712.8937845,7599,0.6526114344596863
1537026843.8805869,9199,0.6488415598869324
1537026892.6126053,9799,0.6471010446548462
1537026908.974422,9999,0.6469619274139404
1537027022.473759,11399,0.6466954946517944
1537027185.393352,599,0.6436097621917725
1537027217.8788505,999,0.6340649724006653
1537027332.3017828,2399,0.629638135433197
1537027348.3965633,2599,0.6294645071029663
1537027397.5246494,3199,0.6247708201408386
1537027413.8392115,3399,0.6256294846534729
1537027562.3076189,5199,0.6287804841995239
1537027595.0691748,5599,0.6276184320449829
1537027611.3769794,5799,0.6263768672943115
1537027627.7234201,5999,0.6277053952217102
1537027742.1939228,7399,0.6271136403083801
1537027823.908678,8399,0.6257240176200867
1537027856.88759,8799,0.6252150535583496
1537027873.2529027,8999,0.6250815391540527
1537027938.688729,9799,0.6265395283699036
1537028021.7192602,10799,0.6256318092346191
1537028038.1809814,10999,0.6252607107162476
1537028199.9966846,199,0.6107392907142639
1537028298.768933,1399,0.6151378154754639
1537028315.408811,1599,0.6142321825027466
1537028347.9863832,1999,0.6138767004013062
1537028397.3619406,2599,0.6177083849906921
1537028430.1054726,2999,0.6196010708808899
1537028446.5328283,3199,0.6201485395431519
1537028479.1457355,3599,0.618755042552948
1537028511.615107,3999,0.6208330988883972
1537028527.964542,4199,0.6210737228393555
1537028643.34318,5599,0.6181933283805847
1537028775.2810457,7199,0.6176280379295349
1537028791.600157,7399,0.6172297596931458
1537028808.3245318,7599,0.6170458793640137
1537028874.529021,8399,0.6167528629302979
1537029038.716134,10399,0.6170538067817688
1537029055.0761569,10599,0.6173372268676758
1537029088.1512516,10999,0.6182292103767395
1537029265.7676191,399,0.6058179140090942
