Wall time,Step,cnn_8_x4_nb,cnn_8_x4_b,cnn_32_x4
1537098551.54533,183,0.4312210977,0.4981936216,0.5420154929
1537098731.31714,184,0.4307039976,0.4983975887,0.5421586633
1537098971.05449,185,0.4189113081,0.4972043633,0.5422865748
1537099209.87866,186,0.4091413915,0.4978529811,0.5426564813
1537099318.66746,187,0.4128344357,0.4974490106,0.5425280333
1537099373.11961,188,0.415915519,0.4979072213,0.5421832204
1537099409.63968,189,0.4158561826,0.4941772819,0.541805923
1537099482.28457,190,0.4164181948,0.48994717,0.5418356657
1537099554.93272,191,0.4173086286,0.4900036156,0.541585505
1537099591.09675,192,0.4183052182,0.4908106923,0.5411940813
1537099681.37907,193,0.4178846478,0.4901638925,0.5412427187
1537099699.2515,194,0.4182137847,0.4926041067,0.5414877534
1537099862.66556,195,0.4208481014,0.4912848473,0.5413144231
1537099972.39938,196,0.4214067757,0.4910542965,0.5413105488
1537100045.35886,197,0.4214411974,0.4896277189,0.540830791
1537100063.5806,198,0.4214063585,0.4900861979,0.5407118201
1537100246.52864,199,0.4231158197,0.4904689193,0.5407289863
1537100336.6167,200,0.4241288006,0.4895911217,0.5403617024
1537100590.36619,201,0.4249201119,0.4893811941,0.5403940678
1537100626.43138,202,0.4247864187,0.4898572266,0.5403434634
1537100991.5083,203,0.424906075,0.4897648096,0.5399399996
1537101009.55655,204,0.424972266,0.4891849458,0.539513588
1537101194.10855,205,0.4109431505,0.4883823991,0.5396553874
1537101212.38477,206,0.395789206,0.488250643,0.5397478938
1537101230.51502,207,0.3880719841,0.4885468483,0.539729774
1537101561.67263,208,0.4110786617,0.4887087345,0.5397255421
1537101778.43891,209,0.4119031727,0.4884468317,0.5397631526
1537101796.70495,210,0.412325412,0.4893500209,0.5395015478
1537101906.85139,211,0.4103565812,0.4898521304,0.5396973491
1537101943.39082,212,0.4095650315,0.4897215366,0.5393261909
1537102035.05055,213,0.4089296162,0.4886704981,0.5391633511
1537102510.7133,214,0.4105142951,0.4856833816,0.5389190316
1537102547.59219,215,0.4107764065,0.47407493,0.5385990739
1537102729.86078,216,0.4099497795,0.4742636085,0.5383497477
1537102932.84421,217,0.4101503491,0.482478708,0.5385559201
1537102987.90634,218,0.4099340737,0.4830214381,0.5383914113
1537103042.94337,219,0.4097276628,0.4825745225,0.5380622745
1537103519.60871,220,0.4040233493,0.4813133478,0.537758708
1537103630.05124,221,0.3995818496,0.4796782434,0.5375738144
1537103760.35268,222,0.3995255828,0.4809512496,0.5371978283
1537103870.07741,223,0.3959488571,0.482745111,0.5374312997
1537104052.54531,224,0.4009985328,0.4825788736,0.5373818874
1537104144.26488,225,0.4015066624,0.4826674461,0.5374155641
1537104162.58335,226,0.4015704989,0.4829578698,0.5372118354
1537104216.90311,227,0.4021979272,0.4839502275,0.53748101
1537104363.54727,228,0.403137207,0.4836986661,0.5375767946
1537104418.87238,229,0.4034072161,0.4829093814,0.5373387337
1537104473.92962,230,0.4031074047,0.4850511253,0.5372928977
1537104528.94873,231,0.4034086168,0.4862060249,0.5370415449
1537104547.24747,232,0.4034956694,0.4853254557,0.5369426012
1537104878.79526,233,0.4038414657,0.4850279987,0.544390142
1537105151.10097,234,0.4056295753,0.4846809506,0.5523495078
1537105421.42344,235,0.4087215662,0.4622936845,0.5437928438
1537105475.72377,236,0.40955019,0.4756468832,0.5452903509
1537105493.78339,237,0.4095322788,0.4752791822,0.5444101691
1537105530.12225,238,0.4093752205,0.4816049337,0.5403095484
1537105660.76064,239,0.3894247413,0.4832093716,0.5410097837
1537106065.53336,240,0.4587633014,0.4841430187,0.5441572666
1537106156.38444,241,0.4607588649,0.4832958579,0.5445215702
1537106211.29165,242,0.4605510533,0.4811791778,0.5462142825
1537106284.27314,243,0.457683295,0.4765798748,0.5472354889
1537106320.74758,244,0.4556490183,0.4755933583,0.5463843942
1537106393.75409,245,0.4535216093,0.4739701152,0.5446616411
1537106468.21316,246,0.4510002136,0.4743596017,0.5437180996
1537106542.6765,247,0.4498209059,0.4751758873,0.5417237282
1537107004.3284,248,0.4399190247,0.4741282165,0.5415847301
1537107022.48935,249,0.4393337071,0.4739872813,0.5418944955
1537107225.38076,250,0.4360097647,0.4725404382,0.5411539674
1537107373.51544,251,0.4336282313,0.4730498195,0.5390670896
1537107391.78603,252,0.4335360825,0.4720385075,0.5357798934
1537107447.28716,253,0.4331667721,0.4728174806,0.5346276164
1537107483.9828,254,0.4327834845,0.4735376239,0.5342741609
1537107667.87142,255,0.4305208325,0.4735538065,0.5338637233
1537107909.54744,256,0.4024738371,0.474578321,0.5337040424
1537108186.81274,257,0.4021150768,0.475184381,0.5330877304
1537108205.48905,258,0.4012621343,0.4759697318,0.5325661898
1537108261.14164,259,0.4004146159,0.4754039347,0.5325683951
1537108708.03122,260,0.4008867741,0.4761458039,0.5319389105
1537108726.39635,261,0.4014012218,0.4574207962,0.531375289
1537108763.43134,262,0.4016088247,0.4496121407,0.5312541127
1537108892.86579,263,0.4010749459,0.4606308639,0.530982554
1537109021.09288,264,0.4011293352,0.4669970274,0.5300929546
1537109039.71185,265,0.4011646211,0.4672669172,0.5301602483
1537109204.4667,266,0.4016753137,0.4676769078,0.531049192
1537109278.29308,267,0.4015070796,0.4632013142,0.5304899216
1537109315.02889,268,0.4022940099,0.4698648751,0.5299890041
1537109388.55676,269,0.4029964209,0.4699911773,0.5293970108
1537109554.47394,270,0.4024439454,0.4694796205,0.5291223526
1537109683.19207,271,0.4020561576,0.4681398869,0.5280831456
1537109701.43279,272,0.4020063281,0.468288362,0.5274406672
1537109793.09101,273,0.4017626047,0.4686048925,0.526999414
1537109940.89684,274,0.4022466838,0.4689793289,0.5277912617
1537110221.12234,275,0.406242162,0.4694826007,0.5273068547
1537110239.84463,276,0.4024567306,0.4682344794,0.5272775888
1537110313.60058,277,0.4015064538,0.4688661993,0.5264053941
1537110406.13129,278,0.4012261629,0.4689137042,0.5264843702
1537110461.99279,279,0.3961720467,0.4670051038,0.5264676809
1537110499.39151,280,0.3962335289,0.4675270021,0.5262815952
1537110555.23372,281,0.3945024014,0.4682391286,0.5264321566
1537110610.99815,282,0.3973069489,0.4682626724,0.5259549022
1537110685.56863,283,0.3989970386,0.4534646869,0.5258832574
1537110835.61657,284,0.3996693492,0.4578243792,0.5256903768
1537110985.31331,285,0.4001375735,0.4609443545,0.525693059
1537111060.23108,286,0.3993397355,0.459449172,0.52572155
1537111116.25544,287,0.3972473443,0.460829109,0.5252127647
1537111247.00668,288,0.3959365785,0.459454,0.5247677565
1537111414.51278,289,0.3961425126,0.4608999193,0.5249785185
1537111489.5153,290,0.3960234225,0.4591667354,0.5250523686
1537111508.208,291,0.3958402872,0.4585361481,0.5245243311
1537111527.20001,292,0.395722717,0.459081769,0.5243251324
1537111564.69561,293,0.3960697353,0.4591766298,0.5240364671
1537111620.99536,294,0.3959288597,0.4635132253,0.5239677429
1537111751.91237,295,0.3972064853,0.4651045501,0.523709774
1537111920.03927,296,0.3978132606,0.4662036598,0.5234093666
1537112106.99278,297,0.3966085017,0.4667288363,0.5239236951
1537112181.88324,298,0.3977195919,0.465639323,0.524017632
1537112218.74659,299,0.3979756534,0.4667644501,0.523927629
1537112274.40598,300,0.3975063264,0.4667391777,0.5233239532
1537112482.55375,301,0.373020649,0.467022568,0.5233348012
1537112539.09246,302,0.3574768007,0.4660191834,0.5227811337
1537112557.56584,303,0.3625214398,0.466306746,0.5226529837
1537112576.3917,304,0.3653293252,0.4429809153,0.5224023461
1537112669.5803,305,0.3697081208,0.4450407922,0.5218529701
1537112931.23524,306,0.3793384433,0.449657917,0.5213358998
1537113099.56504,307,0.3808397651,0.4559930861,0.5208284259
1537113211.37673,308,0.3820160031,0.445990622,0.5203680396
1537113341.3856,309,0.384136647,0.4461531639,0.5205477476
1537113359.56956,310,0.3845008314,0.4452404678,0.5205494165
1537113525.91676,311,0.3875487149,0.4457493126,0.5211961269
1537113656.2568,312,0.3875864148,0.4528139532,0.5210621953
1537113880.52051,313,0.3889579475,0.4552076757,0.5212358832
1537114011.22576,314,0.3891350925,0.4526718557,0.5215710998
1537114048.45622,315,0.389111042,0.456204325,0.5218458176
1537114123.71582,316,0.3894732594,0.4570521712,0.5217583179
1537114312.43517,317,0.3907394707,0.4586615562,0.5216425657
1537114331.18441,318,0.3904619813,0.4593966007,0.5215581059
1537114388.05707,319,0.3900977671,0.4591342509,0.5216190219
1537114481.74747,320,0.3904260695,0.4593036473,0.5216987133
1537114556.80067,321,0.3912288845,0.4587420225,0.5219016671
1537114916.77025,322,0.3871354163,0.4575926065,0.5220764875
1537114973.93846,323,0.3870406151,0.4580858946,0.5220447183
1537115087.46208,324,0.3881802857,0.4577956796,0.5216655731
1537115106.96109,325,0.3875274658,0.4588203728,0.5214267969
1537115126.00494,326,0.3873639405,0.4589924812,0.5210934281
1537115770.11654,327,0.3811218441,0.4490166306,0.5199468732
1537115884.29566,328,0.381591022,0.4524368346,0.5195590854
1537116016.80964,329,0.3821549714,0.4426060319,0.5192511082
1537116130.23541,330,0.3816890717,0.4410712719,0.5187507868
1537116205.80874,331,0.3831926584,0.4404542148,0.5185936689
1537116244.12888,332,0.3836771846,0.4391692579,0.5184075832
1537116281.83417,333,0.3837758005,0.4530647099,0.5177234411
1537116395.82314,334,0.3844273388,0.4556388855,0.5174154043
1537116452.95015,335,0.3848810494,0.4554884434,0.5170673728
1537116490.57539,336,0.3851938844,0.4604001045,0.5169866681
1537116547.0729,337,0.3866056204,0.4598518312,0.5164647102
1537116603.8094,338,0.3867153227,0.4577473402,0.5159478188
1537116660.30088,339,0.3869777918,0.4571178257,0.5157732964
1537116830.64738,340,0.3882933259,0.457092315,0.5150657296
1537116868.74384,341,0.3880960941,0.4574713409,0.5141428709
1537117213.52503,342,0.3662515581,0.4569449127,0.5135146379
1537117232.65748,343,0.3661557436,0.456263274,0.5129324198
1537117251.68752,344,0.3678588271,0.4564298987,0.5125251412
1537117518.11532,345,0.3733347356,0.4556981921,0.5119768977
1537117594.22482,346,0.3767623603,0.4559270442,0.5117255449
1537117670.89946,347,0.3776284754,0.4564910829,0.5113550425
1537117747.87751,348,0.3802815974,0.4557086527,0.4437127709
1537117824.60744,349,0.3829206824,0.4572074115,0.4394193888
1537117862.83688,350,0.3830721378,0.4530902207,0.4392800629
1537117900.55155,351,0.3826142251,0.4428551197,0.4462516904
