Wall time,Step,Value
1537026095.6740139,0,32.20909118652344
1537027135.982217,1,63.053714752197266
1537028183.1499593,2,71.63447570800781
1537029232.8562076,3,64.78331756591797
1537030268.2003508,4,44.86403274536133
1537031306.183129,5,73.01815795898438
1537032354.9965117,6,34.69779968261719
1537033402.0097284,7,64.45661926269531
1537034451.5849473,8,48.61151123046875
1537035498.4040196,9,65.9940414428711
1537036541.6847608,10,67.03180694580078
1537037585.1133804,11,70.62554168701172
1537038643.836141,12,71.4807357788086
1537039703.0547228,13,61.641204833984375
1537040756.7594092,14,67.87738800048828
1537041800.8270323,15,67.83895111083984
1537042848.1244845,16,66.22465515136719
1537043898.7128227,17,67.79090881347656
1537044944.5650847,18,64.85057830810547
1537045979.9728434,19,72.84519958496094
1537047008.8460677,20,63.59181213378906
1537048043.7161143,21,66.74353790283203
1537049085.2328925,22,66.29191589355469
1537050126.819658,23,67.91582489013672
1537051170.3826373,24,70.65436553955078
1537052210.1535983,25,69.87604522705078
1537053248.3170345,26,85.45210266113281
1537054283.9883678,27,57.74959182739258
1537055318.4006805,28,67.67560577392578
1537056358.8116324,29,69.51090240478516
1537057399.2630107,30,70.73123931884766
1537058437.1090834,31,70.27001190185547
1537059471.8038836,32,64.86979675292969
1537060504.1689312,33,74.17123413085938
1537061551.8222923,34,75.45882415771484
1537062595.650538,35,55.039878845214844
1537063643.3660135,36,75.09368896484375
1537064693.8977306,37,68.4058837890625
1537065735.260486,38,62.150474548339844
1537066780.3186617,39,65.58085632324219
1537067819.1351838,40,75.11290740966797
1537068865.207452,41,76.1602783203125
1537069903.0160692,42,79.85971069335938
1537070948.3869963,43,81.12808990478516
1537071980.219845,44,85.39444732666016
1537073024.0707798,45,85.05813598632812
1537074068.708718,46,86.66282653808594
1537075113.711015,47,79.43692016601562
1537076142.295101,48,75.07447052001953
1537077179.1388912,49,77.88988494873047
